Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
87,3/10/2020,6:00 PM,Ladakh,2,0,0,0,2
88,3/10/2020,6:00 PM,Delhi,4,0,0,0,4
89,3/10/2020,6:00 PM,Haryana,0,2,0,0,2
90,3/10/2020,6:00 PM,Karnataka,4,0,0,0,4
91,3/10/2020,6:00 PM,Kerala,15,0,3,0,15
92,3/10/2020,6:00 PM,Maharashtra,5,0,0,0,5
93,3/10/2020,6:00 PM,Punjab,1,0,0,0,1
94,3/10/2020,6:00 PM,Rajasthan,1,14,0,0,15
95,3/10/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
96,3/10/2020,6:00 PM,Telengana,1,0,0,0,1
97,3/10/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
98,3/11/2020,6:00 PM,Maharashtra,2,0,0,0,2
99,3/11/2020,6:00 PM,Delhi,5,0,0,0,5
100,3/11/2020,6:00 PM,Haryana,0,14,0,0,14
101,3/11/2020,6:00 PM,Kerala,17,0,3,0,17
102,3/11/2020,6:00 PM,Rajasthan,1,2,0,0,3
103,3/11/2020,6:00 PM,Telengana,1,0,0,0,1
104,3/11/2020,6:00 PM,Uttar Pradesh,9,0,0,0,9
105,3/11/2020,6:00 PM,Ladakh,2,0,0,0,2
106,3/11/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
107,3/11/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
108,3/11/2020,6:00 PM,Punjab,1,0,0,0,1
109,3/11/2020,6:00 PM,Karnataka,4,0,0,0,4
110,3/12/2020,6:00 PM,Delhi,6,0,0,0,6
111,3/12/2020,6:00 PM,Haryana,0,14,0,0,14
112,3/12/2020,6:00 PM,Kerala,17,0,3,0,17
113,3/12/2020,6:00 PM,Rajasthan,1,2,0,0,3
114,3/12/2020,6:00 PM,Telengana,1,0,0,0,1
115,3/12/2020,6:00 PM,Uttar Pradesh,10,1,0,0,11
116,3/12/2020,6:00 PM,Ladakh,3,0,0,0,3
117,3/12/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
118,3/12/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
119,3/12/2020,6:00 PM,Punjab,1,0,0,0,1
120,3/12/2020,6:00 PM,Karnataka,4,0,0,0,4
121,3/12/2020,6:00 PM,Maharashtra,11,0,0,0,11
122,3/12/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
123,3/13/20,6:00 PM,Delhi,6,0,0,0,6
124,3/13/20,6:00 PM,Haryana,0,14,0,0,14
125,3/13/20,6:00 PM,Kerala,19,0,3,0,19
126,3/13/20,6:00 PM,Rajasthan,1,2,0,0,3
127,3/13/20,6:00 PM,Telengana,1,0,0,0,1
128,3/13/20,6:00 PM,Uttar Pradesh,10,1,0,0,11
129,3/13/20,6:00 PM,Ladakh,3,0,0,0,3
130,3/13/20,6:00 PM,Tamil Nadu,1,0,0,0,1
131,3/13/20,6:00 PM,Jammu and Kashmir,1,0,0,0,1
132,3/13/20,6:00 PM,Punjab,1,0,0,0,1
133,3/13/20,6:00 PM,Karnataka,6,0,0,1,6
134,3/13/20,6:00 PM,Maharashtra,14,0,0,0,14
135,3/13/20,6:00 PM,Andhra Pradesh,1,0,0,0,1
136,3/14/20,6:00 PM,Delhi,7,0,1,1,7
137,3/14/20,6:00 PM,Haryana,0,14,0,0,14
138,3/14/20,6:00 PM,Kerala,19,0,3,0,19
139,3/14/20,6:00 PM,Rajasthan,1,2,1,0,3
140,3/14/20,6:00 PM,Telengana,1,0,0,0,1
141,3/14/20,6:00 PM,Uttar Pradesh,11,1,5,0,12
142,3/14/20,6:00 PM,Ladakh,3,0,0,0,3
143,3/14/20,6:00 PM,Tamil Nadu,1,0,0,0,1
144,3/14/20,6:00 PM,Jammu and Kashmir,2,0,0,0,2
145,3/14/20,6:00 PM,Punjab,1,0,0,0,1
146,3/14/20,6:00 PM,Karnataka,6,0,0,1,6
147,3/14/20,6:00 PM,Maharashtra,14,0,0,0,14
148,3/14/20,6:00 PM,Andhra Pradesh,1,0,0,0,1
149,3/15/20,6:00 PM,Andhra Pradesh,1,0,0,0,1
150,3/15/20,6:00 PM,Delhi,7,0,2,1,7
151,3/15/20,6:00 PM,Haryana,0,14,0,0,14
152,3/15/20,6:00 PM,Karnataka,6,0,0,1,6
153,3/15/20,6:00 PM,Kerala,22,0,3,0,22
154,3/15/20,6:00 PM,Maharashtra,32,0,0,0,32
155,3/15/20,6:00 PM,Punjab,1,0,0,0,1
156,3/15/20,6:00 PM,Rajasthan,2,2,3,0,4
157,3/15/20,6:00 PM,Tamil Nadu,1,0,0,0,1
158,3/15/20,6:00 PM,Telengana,3,0,1,0,3
159,3/15/20,6:00 PM,Jammu and Kashmir,2,0,0,0,2
160,3/15/20,6:00 PM,Ladakh,3,0,0,0,3
161,3/15/20,6:00 PM,Uttar Pradesh,12,1,4,0,13
162,3/15/20,6:00 PM,Uttarakhand,1,0,0,0,1
163,3/16/20,6:00 PM,Andhra Pradesh,1,0,0,0,1
164,3/16/20,6:00 PM,Delhi,7,0,2,1,7
165,3/16/20,6:00 PM,Haryana,0,14,0,0,14
166,3/16/20,6:00 PM,Karnataka,6,0,0,1,6
167,3/16/20,6:00 PM,Kerala,23,0,3,0,23
168,3/16/20,6:00 PM,Maharashtra,32,0,0,0,32
169,3/16/20,6:00 PM,Odisha,1,0,0,0,1
170,3/16/20,6:00 PM,Punjab,1,0,0,0,1
171,3/16/20,6:00 PM,Rajasthan,2,2,3,0,4
172,3/16/20,6:00 PM,Tamil Nadu,1,0,0,0,1
173,3/16/20,6:00 PM,Telengana,3,0,1,0,3
174,3/16/20,6:00 PM,Jammu and Kashmir,3,0,0,0,3
175,3/16/20,6:00 PM,Ladakh,4,0,0,0,4
176,3/16/20,6:00 PM,Uttar Pradesh,12,1,4,0,13
177,3/16/20,6:00 PM,Uttarakhand,1,0,0,0,1
178,3/17/20,6:00 PM,Andhra Pradesh,1,0,0,0,1
179,3/17/20,6:00 PM,Delhi,8,0,2,1,8
180,3/17/20,6:00 PM,Haryana,1,14,0,0,15
181,3/17/20,6:00 PM,Karnataka,11,0,0,1,11
182,3/17/20,6:00 PM,Kerala,24,2,3,0,26
183,3/17/20,6:00 PM,Maharashtra,36,3,0,1,39
184,3/17/20,6:00 PM,Odisha,1,0,0,0,1
185,3/17/20,6:00 PM,Punjab,1,0,0,0,1
186,3/17/20,6:00 PM,Rajasthan,2,2,3,0,4
187,3/17/20,6:00 PM,Tamil Nadu,1,0,0,0,1
188,3/17/20,6:00 PM,Telengana,3,2,1,0,5
189,3/17/20,6:00 PM,Jammu and Kashmir,3,0,0,0,3
190,3/17/20,6:00 PM,Ladakh,6,0,0,0,6
191,3/17/20,6:00 PM,Uttar Pradesh,14,1,5,0,15
192,3/17/20,6:00 PM,Uttarakhand,1,0,0,0,1
193,3/18/20,6:00 PM,Andhra Pradesh,1,0,0,0,1
194,3/18/20,6:00 PM,Delhi,9,1,2,1,10
195,3/18/20,6:00 PM,Haryana,3,14,0,0,17
196,3/18/20,6:00 PM,Karnataka,11,0,0,1,11
197,3/18/20,6:00 PM,Kerala,25,2,3,0,27
198,3/18/20,6:00 PM,Maharashtra,39,3,0,1,42
199,3/18/20,6:00 PM,Odisha,1,0,0,0,1
200,3/18/20,6:00 PM,Puducherry,1,0,0,0,1
201,3/18/20,6:00 PM,Punjab,1,0,0,0,1
202,3/18/20,6:00 PM,Rajasthan,2,2,3,0,4
203,3/18/20,6:00 PM,Tamil Nadu,1,0,0,0,1
204,3/18/20,6:00 PM,Telengana,4,2,1,0,6
205,3/18/20,6:00 PM,Jammu and Kashmir,3,0,0,0,3
206,3/18/20,6:00 PM,Ladakh,8,0,0,0,8
207,3/18/20,6:00 PM,Uttar Pradesh,15,1,5,0,16
208,3/18/20,6:00 PM,Uttarakhand,1,0,0,0,1
209,3/18/20,6:00 PM,West Bengal,1,0,0,0,1
210,3/19/20,6:00 PM,Andhra Pradesh,2,0,0,0,2
211,3/19/20,6:00 PM,Chhattisgarh,1,0,0,0,1
